vessel_id,vessel_type,scheduled_arrival,actual_arrival,departure_time,berth_id,gross_tonnage,length_overall_m
VSL100084,Container,2023-01-04 12:00:00,2023-01-04 17:00:00,2023-01-05 19:00:00,10,77508,381
VSL100085,Bulk,2023-01-04 13:00:00,2023-01-04 16:00:00,2023-01-07 07:00:00,24,177103,344
VSL100086,Tanker,2023-01-04 14:00:00,2023-01-04 16:00:00,2023-01-07 13:00:00,23,106166,288
VSL100087,Container,2023-01-04 15:00:00,2023-01-04 17:00:00,2023-01-06 03:00:00,23,172048,306
VSL100088,Bulk,2023-01-04 16:00:00,2023-01-05 01:00:00,2023-01-07 02:00:00,24,132952,202
VSL100089,Container,2023-01-04 17:00:00,2023-01-04 19:00:00,2023-01-06 19:00:00,8,153353,190
VSL100090,Container,2023-01-04 18:00:00,2023-01-05 05:00:00,2023-01-06 04:00:00,4,152882,239
VSL100091,Container,2023-01-04 19:00:00,2023-01-05 02:00:00,2023-01-06 15:00:00,1,136255,354
VSL100092,Container,2023-01-04 20:00:00,2023-01-05 04:00:00,2023-01-06 03:00:00,13,69801,187
VSL100093,Tanker,2023-01-04 21:00:00,2023-01-05 05:00:00,2023-01-07 14:00:00,10,44455,229
VSL100094,Container,2023-01-04 22:00:00,2023-01-05 02:00:00,2023-01-06 23:00:00,12,134035,394
VSL100095,Container,2023-01-04 23:00:00,2023-01-04 23:00:00,2023-01-07 04:00:00,20,99010,280
VSL100096,Container,2023-01-05 00:00:00,2023-01-05 09:00:00,2023-01-06 21:00:00,2,131339,234
VSL100097,Tanker,2023-01-05 01:00:00,2023-01-05 05:00:00,2023-01-07 15:00:00,6,95577,193
VSL100098,Container,2023-01-05 02:00:00,2023-01-05 02:00:00,2023-01-06 11:00:00,24,177936,340
VSL100099,Container,2023-01-05 03:00:00,2023-01-05 11:00:00,2023-01-07 04:00:00,10,77040,283
VSL100100,Tanker,2023-01-05 04:00:00,2023-01-05 13:00:00,2023-01-07 06:00:00,10,105423,314
VSL100101,Tanker,2023-01-05 05:00:00,2023-01-05 12:00:00,2023-01-07 02:00:00,3,85967,356
VSL100102,Tanker,2023-01-05 06:00:00,2023-01-05 12:00:00,2023-01-06 18:00:00,6,115094,366
VSL100103,Container,2023-01-05 07:00:00,2023-01-05 08:00:00,2023-01-07 21:00:00,15,165718,269
VSL100104,Tanker,2023-01-05 08:00:00,2023-01-05 09:00:00,2023-01-06 14:00:00,12,78479,272
VSL100105,Tanker,2023-01-05 09:00:00,2023-01-05 12:00:00,2023-01-08 03:00:00,9,127508,306
VSL100106,Container,2023-01-05 10:00:00,2023-01-05 18:00:00,2023-01-08 03:00:00,4,138806,372
VSL100107,Tanker,2023-01-05 11:00:00,2023-01-05 19:00:00,2023-01-06 22:00:00,6,22993,226
VSL100108,Container,2023-01-05 12:00:00,2023-01-05 19:00:00,2023-01-07 00:00:00,18,61141,252
VSL100109,Bulk,2023-01-05 13:00:00,2023-01-05 23:00:00,2023-01-07 00:00:00,6,155494,236
VSL100110,Tanker,2023-01-05 14:00:00,2023-01-05 18:00:00,2023-01-07 01:00:00,1,169141,178
VSL100111,Bulk,2023-01-05 15:00:00,2023-01-05 21:00:00,2023-01-08 04:00:00,12,112048,179
VSL100112,Container,2023-01-05 16:00:00,2023-01-06 03:00:00,2023-01-06 18:00:00,23,30316,371
VSL100113,Tanker,2023-01-05 17:00:00,2023-01-06 01:00:00,2023-01-07 00:00:00,3,102095,251
VSL100114,Container,2023-01-05 18:00:00,2023-01-05 20:00:00,2023-01-08 00:00:00,12,176877,248
VSL100115,Bulk,2023-01-05 19:00:00,2023-01-05 22:00:00,2023-01-07 07:00:00,3,114769,394
VSL100116,Container,2023-01-05 20:00:00,2023-01-05 21:00:00,2023-01-07 03:00:00,10,44575,354
VSL100117,Tanker,2023-01-05 21:00:00,2023-01-06 05:00:00,2023-01-08 09:00:00,6,109682,283
VSL100118,Tanker,2023-01-05 22:00:00,2023-01-06 04:00:00,2023-01-07 21:00:00,21,53978,203
VSL100119,Bulk,2023-01-05 23:00:00,2023-01-06 04:00:00,2023-01-08 02:00:00,17,150726,328
VSL100120,Container,2023-01-06 00:00:00,2023-01-06 04:00:00,2023-01-07 03:00:00,1,70118,392
VSL100121,Tanker,2023-01-06 01:00:00,2023-01-06 12:00:00,2023-01-07 16:00:00,2,59867,303
VSL100122,Bulk,2023-01-06 02:00:00,2023-01-06 08:00:00,2023-01-07 19:00:00,19,39930,161
VSL100123,Tanker,2023-01-06 03:00:00,2023-01-06 05:00:00,2023-01-07 06:00:00,20,168845,166
VSL100124,Tanker,2023-01-06 04:00:00,2023-01-06 08:00:00,2023-01-08 22:00:00,6,64919,233
VSL100125,Container,2023-01-06 05:00:00,2023-01-06 06:00:00,2023-01-08 20:00:00,10,27847,375
VSL100126,Tanker,2023-01-06 06:00:00,2023-01-06 10:00:00,2023-01-08 14:00:00,10,149155,195
VSL100127,Container,2023-01-06 07:00:00,2023-01-06 13:00:00,2023-01-09 03:00:00,18,111756,165
VSL100128,Tanker,2023-01-06 08:00:00,2023-01-06 18:00:00,2023-01-08 10:00:00,23,119983,256
VSL100129,Bulk,2023-01-06 09:00:00,2023-01-06 18:00:00,2023-01-08 20:00:00,8,163418,323
VSL100130,Tanker,2023-01-06 10:00:00,2023-01-06 20:00:00,2023-01-07 13:00:00,20,40760,297
VSL100131,Container,2023-01-06 11:00:00,2023-01-06 17:00:00,2023-01-08 22:00:00,7,21412,377
VSL100132,Container,2023-01-06 12:00:00,2023-01-06 20:00:00,2023-01-08 00:00:00,10,43936,382
VSL100133,Bulk,2023-01-06 13:00:00,2023-01-06 15:00:00,2023-01-09 12:00:00,1,29981,256
VSL100134,Tanker,2023-01-06 14:00:00,2023-01-06 21:00:00,2023-01-08 03:00:00,22,44301,253
VSL100135,Tanker,2023-01-06 15:00:00,2023-01-06 19:00:00,2023-01-09 08:00:00,15,112900,355
VSL100136,Bulk,2023-01-06 16:00:00,2023-01-06 22:00:00,2023-01-09 04:00:00,10,60941,263
VSL100137,Tanker,2023-01-06 17:00:00,2023-01-06 17:00:00,2023-01-09 15:00:00,22,143027,257
VSL100138,Tanker,2023-01-06 18:00:00,2023-01-06 18:00:00,2023-01-07 23:00:00,3,78720,229
VSL100139,Container,2023-01-06 19:00:00,2023-01-06 22:00:00,2023-01-08 08:00:00,23,164806,252
VSL100140,Tanker,2023-01-06 20:00:00,2023-01-07 00:00:00,2023-01-09 14:00:00,9,160460,283
VSL100141,Tanker,2023-01-06 21:00:00,2023-01-07 06:00:00,2023-01-07 23:00:00,13,99651,387
VSL100142,Bulk,2023-01-06 22:00:00,2023-01-07 00:00:00,2023-01-08 22:00:00,6,134601,339
VSL100143,Bulk,2023-01-06 23:00:00,2023-01-07 04:00:00,2023-01-09 08:00:00,19,116863,380
VSL100144,Container,2023-01-07 00:00:00,2023-01-07 02:00:00,2023-01-08 05:00:00,2,26772,364
VSL100145,Tanker,2023-01-07 01:00:00,2023-01-07 05:00:00,2023-01-09 16:00:00,12,149965,268
VSL100146,Tanker,2023-01-07 02:00:00,2023-01-07 12:00:00,2023-01-08 02:00:00,11,175884,152
VSL100147,Tanker,2023-01-07 03:00:00,2023-01-07 03:00:00,2023-01-10 00:00:00,13,78358,239
VSL100148,Container,2023-01-07 04:00:00,2023-01-07 06:00:00,2023-01-10 03:00:00,22,102746,289
VSL100149,Container,2023-01-07 05:00:00,2023-01-07 11:00:00,2023-01-08 12:00:00,3,96041,217
VSL100150,Bulk,2023-01-07 06:00:00,2023-01-07 08:00:00,2023-01-08 22:00:00,17,157089,253
VSL100151,Container,2023-01-07 07:00:00,2023-01-07 11:00:00,2023-01-08 19:00:00,9,130889,156
VSL100152,Tanker,2023-01-07 08:00:00,2023-01-07 14:00:00,2023-01-09 02:00:00,23,70022,302
VSL100153,Tanker,2023-01-07 09:00:00,2023-01-07 10:00:00,2023-01-10 01:00:00,15,135817,317
VSL100154,Container,2023-01-07 10:00:00,2023-01-07 12:00:00,2023-01-09 20:00:00,15,125862,150
VSL100155,Tanker,2023-01-07 11:00:00,2023-01-07 14:00:00,2023-01-09 19:00:00,4,108448,271
VSL100156,Tanker,2023-01-07 12:00:00,2023-01-07 16:00:00,2023-01-10 08:00:00,14,128680,254
VSL100157,Container,2023-01-07 13:00:00,2023-01-08 00:00:00,2023-01-10 09:00:00,14,32457,261
VSL100158,Container,2023-01-07 14:00:00,2023-01-07 22:00:00,2023-01-10 09:00:00,14,117486,388
VSL100159,Tanker,2023-01-07 15:00:00,2023-01-07 23:00:00,2023-01-09 23:00:00,18,173400,221
VSL100160,Tanker,2023-01-07 16:00:00,2023-01-07 19:00:00,2023-01-10 09:00:00,3,45365,247
VSL100161,Tanker,2023-01-07 17:00:00,2023-01-08 01:00:00,2023-01-10 07:00:00,6,31146,217
VSL100162,Bulk,2023-01-07 18:00:00,2023-01-07 21:00:00,2023-01-10 15:00:00,8,44306,384
VSL100163,Bulk,2023-01-07 19:00:00,2023-01-07 20:00:00,2023-01-10 08:00:00,19,172699,358
VSL100164,Bulk,2023-01-07 20:00:00,2023-01-08 05:00:00,2023-01-10 09:00:00,2,33909,211
VSL100165,Container,2023-01-07 21:00:00,2023-01-07 21:00:00,2023-01-09 05:00:00,5,37597,371
VSL100166,Bulk,2023-01-07 22:00:00,2023-01-08 04:00:00,2023-01-10 21:00:00,24,102087,296
VSL100167,Container,2023-01-07 23:00:00,2023-01-08 02:00:00,2023-01-10 11:00:00,9,159725,282
VSL100168,Container,2023-01-08 00:00:00,2023-01-08 11:00:00,2023-01-10 22:00:00,11,102412,199
VSL100169,Bulk,2023-01-08 01:00:00,2023-01-08 08:00:00,2023-01-09 01:00:00,16,136731,198
VSL100170,Bulk,2023-01-08 02:00:00,2023-01-08 09:00:00,2023-01-10 13:00:00,20,86913,208
VSL100171,Bulk,2023-01-08 03:00:00,2023-01-08 14:00:00,2023-01-10 20:00:00,2,85143,350
VSL100172,Tanker,2023-01-08 04:00:00,2023-01-08 11:00:00,2023-01-10 17:00:00,7,116772,232
VSL100173,Bulk,2023-01-08 05:00:00,2023-01-08 10:00:00,2023-01-09 06:00:00,5,66663,257
VSL100174,Tanker,2023-01-08 06:00:00,2023-01-08 14:00:00,2023-01-09 15:00:00,1,110226,371
VSL100175,Container,2023-01-08 07:00:00,2023-01-08 10:00:00,2023-01-10 05:00:00,21,118408,209
VSL100176,Tanker,2023-01-08 08:00:00,2023-01-08 12:00:00,2023-01-09 16:00:00,4,130075,342
VSL100177,Bulk,2023-01-08 09:00:00,2023-01-08 12:00:00,2023-01-09 19:00:00,9,73292,363
VSL100178,Container,2023-01-08 10:00:00,2023-01-08 14:00:00,2023-01-10 21:00:00,15,62856,281
VSL100179,Container,2023-01-08 11:00:00,2023-01-08 12:00:00,2023-01-11 04:00:00,18,107016,313
VSL100180,Container,2023-01-08 12:00:00,2023-01-08 16:00:00,2023-01-11 01:00:00,10,134672,246
VSL100181,Tanker,2023-01-08 13:00:00,2023-01-08 22:00:00,2023-01-10 23:00:00,11,154511,294
VSL100182,Bulk,2023-01-08 14:00:00,2023-01-08 21:00:00,2023-01-10 02:00:00,17,70752,271
VSL100183,Container,2023-01-08 15:00:00,2023-01-08 23:00:00,2023-01-10 09:00:00,18,165993,248
VSL100184,Container,2023-01-08 16:00:00,2023-01-08 22:00:00,2023-01-11 02:00:00,12,82853,323
VSL100185,Container,2023-01-08 17:00:00,2023-01-08 23:00:00,2023-01-10 22:00:00,23,109154,179
VSL100186,Tanker,2023-01-08 18:00:00,2023-01-08 23:00:00,2023-01-10 11:00:00,13,63986,157
VSL100187,Tanker,2023-01-08 19:00:00,2023-01-08 20:00:00,2023-01-10 06:00:00,18,24892,383
VSL100188,Bulk,2023-01-08 20:00:00,2023-01-09 05:00:00,2023-01-10 07:00:00,22,99694,242
VSL100189,Tanker,2023-01-08 21:00:00,2023-01-09 08:00:00,2023-01-10 17:00:00,17,23670,345
VSL100190,Container,2023-01-08 22:00:00,2023-01-09 08:00:00,2023-01-10 09:00:00,10,170023,195
VSL100191,Bulk,2023-01-08 23:00:00,2023-01-09 08:00:00,2023-01-11 02:00:00,15,117269,352
VSL100192,Container,2023-01-09 00:00:00,2023-01-09 08:00:00,2023-01-11 04:00:00,20,134647,323
VSL100193,Container,2023-01-09 01:00:00,2023-01-09 05:00:00,2023-01-11 15:00:00,23,27013,359
VSL100194,Tanker,2023-01-09 02:00:00,2023-01-09 07:00:00,2023-01-11 18:00:00,24,172627,245
VSL100195,Bulk,2023-01-09 03:00:00,2023-01-09 03:00:00,2023-01-11 22:00:00,8,160043,356
VSL100196,Tanker,2023-01-09 04:00:00,2023-01-09 08:00:00,2023-01-10 07:00:00,21,66720,378
VSL100197,Tanker,2023-01-09 05:00:00,2023-01-09 10:00:00,2023-01-11 11:00:00,11,171043,221
VSL100198,Bulk,2023-01-09 06:00:00,2023-01-09 15:00:00,2023-01-11 05:00:00,18,115078,286
VSL100199,Container,2023-01-09 07:00:00,2023-01-09 17:00:00,2023-01-12 00:00:00,4,39643,378
VSL100200,Container,2023-01-09 08:00:00,2023-01-09 09:00:00,2023-01-11 01:00:00,19,89728,152
VSL100201,Bulk,2023-01-09 09:00:00,2023-01-09 15:00:00,2023-01-12 02:00:00,23,101579,373
VSL100202,Container,2023-01-09 10:00:00,2023-01-09 13:00:00,2023-01-11 11:00:00,22,84413,356
VSL100203,Bulk,2023-01-09 11:00:00,2023-01-09 15:00:00,2023-01-12 06:00:00,2,84423,299
VSL100204,Bulk,2023-01-09 12:00:00,2023-01-09 14:00:00,2023-01-11 07:00:00,20,44844,283
VSL100205,Tanker,2023-01-09 13:00:00,2023-01-09 17:00:00,2023-01-10 20:00:00,3,112573,160
VSL100206,Bulk,2023-01-09 14:00:00,2023-01-10 01:00:00,2023-01-11 22:00:00,16,77234,234
VSL100207,Tanker,2023-01-09 15:00:00,2023-01-09 18:00:00,2023-01-10 18:00:00,1,96563,335
VSL100208,Container,2023-01-09 16:00:00,2023-01-10 03:00:00,2023-01-12 05:00:00,17,75461,294
VSL100209,Container,2023-01-09 17:00:00,2023-01-10 02:00:00,2023-01-11 14:00:00,12,130782,164
VSL100210,Container,2023-01-09 18:00:00,2023-01-09 23:00:00,2023-01-12 05:00:00,19,85908,169
VSL100211,Container,2023-01-09 19:00:00,2023-01-09 20:00:00,2023-01-12 18:00:00,10,25237,281
VSL100212,Tanker,2023-01-09 20:00:00,2023-01-09 22:00:00,2023-01-12 02:00:00,20,173622,313
VSL100213,Container,2023-01-09 21:00:00,2023-01-10 08:00:00,2023-01-11 04:00:00,13,83704,267
VSL100214,Bulk,2023-01-09 22:00:00,2023-01-10 07:00:00,2023-01-11 06:00:00,14,110494,345
VSL100215,Bulk,2023-01-09 23:00:00,2023-01-09 23:00:00,2023-01-12 21:00:00,16,148138,278
VSL100216,Bulk,2023-01-10 00:00:00,2023-01-10 06:00:00,2023-01-11 17:00:00,24,30270,355
VSL100217,Tanker,2023-01-10 01:00:00,2023-01-10 09:00:00,2023-01-12 11:00:00,1,31211,204
VSL100218,Container,2023-01-10 02:00:00,2023-01-10 03:00:00,2023-01-12 01:00:00,24,106568,371
VSL100219,Container,2023-01-10 03:00:00,2023-01-10 09:00:00,2023-01-11 19:00:00,18,124673,192
VSL100220,Container,2023-01-10 04:00:00,2023-01-10 06:00:00,2023-01-11 04:00:00,3,108632,337
VSL100221,Tanker,2023-01-10 05:00:00,2023-01-10 09:00:00,2023-01-12 19:00:00,14,46141,347
VSL100222,Bulk,2023-01-10 06:00:00,2023-01-10 11:00:00,2023-01-12 23:00:00,17,162443,228
VSL100223,Bulk,2023-01-10 07:00:00,2023-01-10 14:00:00,2023-01-11 21:00:00,24,94959,189
VSL100224,Container,2023-01-10 08:00:00,2023-01-10 11:00:00,2023-01-11 20:00:00,14,160639,267
VSL100225,Bulk,2023-01-10 09:00:00,2023-01-10 10:00:00,2023-01-12 07:00:00,21,148495,387
VSL100226,Bulk,2023-01-10 10:00:00,2023-01-10 12:00:00,2023-01-12 14:00:00,8,31619,280
VSL100227,Tanker,2023-01-10 11:00:00,2023-01-10 18:00:00,2023-01-12 17:00:00,12,36977,308
VSL100228,Tanker,2023-01-10 12:00:00,2023-01-10 18:00:00,2023-01-13 00:00:00,14,175271,374
VSL100229,Tanker,2023-01-10 13:00:00,2023-01-10 18:00:00,2023-01-12 16:00:00,2,141822,217
VSL100230,Tanker,2023-01-10 14:00:00,2023-01-10 18:00:00,2023-01-12 21:00:00,6,156099,394
VSL100231,Container,2023-01-10 15:00:00,2023-01-11 01:00:00,2023-01-11 21:00:00,12,120556,160
VSL100232,Tanker,2023-01-10 16:00:00,2023-01-10 20:00:00,2023-01-12 05:00:00,4,162242,398
VSL100233,Bulk,2023-01-10 17:00:00,2023-01-10 17:00:00,2023-01-12 06:00:00,4,43928,172
VSL100234,Container,2023-01-10 18:00:00,2023-01-10 23:00:00,2023-01-13 01:00:00,16,61114,348
VSL100235,Bulk,2023-01-10 19:00:00,2023-01-11 03:00:00,2023-01-12 03:00:00,20,23833,374
VSL100236,Bulk,2023-01-10 20:00:00,2023-01-11 03:00:00,2023-01-12 01:00:00,16,59487,263
VSL100237,Bulk,2023-01-10 21:00:00,2023-01-11 08:00:00,2023-01-12 11:00:00,24,128028,287
VSL100238,Tanker,2023-01-10 22:00:00,2023-01-11 07:00:00,2023-01-13 03:00:00,8,144617,187
VSL100239,Tanker,2023-01-10 23:00:00,2023-01-10 23:00:00,2023-01-13 04:00:00,3,140484,360
VSL100240,Container,2023-01-11 00:00:00,2023-01-11 10:00:00,2023-01-12 15:00:00,8,37450,241
VSL100241,Container,2023-01-11 01:00:00,2023-01-11 06:00:00,2023-01-12 23:00:00,24,104536,236
VSL100242,Tanker,2023-01-11 02:00:00,2023-01-11 04:00:00,2023-01-13 08:00:00,13,143113,364
VSL100243,Bulk,2023-01-11 03:00:00,2023-01-11 08:00:00,2023-01-12 14:00:00,7,173006,387
VSL100244,Container,2023-01-11 04:00:00,2023-01-11 12:00:00,2023-01-13 00:00:00,2,66967,399
VSL100245,Tanker,2023-01-11 05:00:00,2023-01-11 10:00:00,2023-01-12 07:00:00,5,28595,293
